Name,Price,Price_Origin,ROM,PIN,LINK,IMG,RATING
Samsung Galaxy A14 5G,4.690.000 ₫,5.190.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],['Pin & công nghệ sạc\nPin\n5.000 mAh\nCông nghệ sạc\nSạc nhanh 15W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-a14.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/a/0/a05f7c5f-064e-4832-87cf-9e54bb65bf56.png",0/5
Samsung Galaxy S20 FE 256GB,8.790.000 ₫,12.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],"['Pin & công nghệ sạc\nPin\nLi-Po 4500 mAh, sạc nhanh 25W, sạc không dây cho các thiết bị ngoại vi 5.4W\nCông nghệ sạc\nSạc nhanh 15W, hỗ trợ sạc không dây, sạc ngược không dây\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-s20-fe.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/a/samsung-galaxy-20-fe_3_.jpg",4.8/5
Xiaomi Redmi Note 11S,5.690.000 ₫,6.690.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n5000mAh (typ)\nCông nghệ sạc\nSạc nhanh 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-redmi-note-11s.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/n/o/note_11s-01.png",4.8/5
Samsung Galaxy A04s,3.350.000 ₫,3.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB\nKhe cắm thẻ nhớ\nMicroSD hỗ trợ tối đa 1 TB'],"['Pin & công nghệ sạc\nPin\n5,000 mAh\nCông nghệ sạc\nSạc nhanh 15W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-a04s.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/_/t_ng.jpg",0/5
ASUS ROG Phone 6 12GB 256GB,17.690.000 ₫,18.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n12 GB\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nPin\n6000 mAh\nCông nghệ sạc\nSạc nhanh 5.0\nSạc PD\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/f/b/fbhgjj.png",0/5
Samsung Galaxy A14 4G,4.040.000 ₫,4.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n128 GB'],"['Pin & công nghệ sạc\nPin\n5,000mAh\nCông nghệ sạc\nSạc 10W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-a14-4g.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/f/d/fdeen_1_.jpg",0/5
Xiaomi 12T,11.990.000 ₫,12.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n5000mAh\nCông nghệ sạc\nSạc nhanh 120W\nSạc không dây\nPower Delivery 3.0\nQuick Charge 4+\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-mi-12t.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/i/xiaomi-12t-xanh_1.jpg",4.9/5
Samsung Galaxy S23 Plus 8GB 256GB,21.490.000 ₫,26.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB'],"['Pin & công nghệ sạc\nPin\n4700 mAh\nCông nghệ sạc\nSạc nhanh 45 W, sạc không dây 15W, chia sẻ pin không dây\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-s23-plus.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/_/g/_global_version_sm-s916_galaxys23plus_front_cream_221122.jpg",0/5
Samsung Galaxy A13 (4G),3.650.000 ₫,4.190.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nMicroSD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 15W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-a13.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/g/a/galaxy_a13.jpg",5.0/5
realme 10 8GB 256GB,6.490.000 ₫,7.190.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nPin\n5.000 mAh\nCông nghệ sạc\nSạc nhanh 33 W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/realme-10.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/b/l/black-558e4859a9.png",0/5
Xiaomi 11T,10.990.000 ₫,None,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nCông nghê sạc nhanh Xiaomi HyperCharge 67W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-mi-11t.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/i/xiaomi-11t-002.jpg",4.6/5
realme C55 8GB 256GB,5.390.000 ₫,5.990.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nMicroSD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n5000 MAh\nCông nghệ sạc\nSạc nhanh SuperVOOC 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/realme-c55-8gb-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/r/g/rgrgrtyt6_1.jpg",0/5
Xiaomi Redmi 10A,2.090.000 ₫,2.890.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n2 GB\nBộ nhớ trong\n32 GB\nKhe cắm thẻ nhớ\nCó'],['Pin & công nghệ sạc\nPin\n5000mAh\nCông nghệ sạc\nSạc nhanh 10W\nCổng sạc\nMicro-USB'],"https://cellphones.com.vn/xiaomi-redmi-10a.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/p/m/pms_1650393946.86423132.png",5.0/5
Xiaomi 11 Lite 5G NE,7.090.000 ₫,9.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n4250mAh\nCông nghệ sạc\nSạc nhanh 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/i/xiaomi-11-lite-5g-012_2.jpg",4.3/5
Samsung Galaxy A33 (5G),6.400.000 ₫,7.290.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nMicroSD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 25 W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-a33.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/a/samsung-galaxy-a33-5g-500x500.jpg",4.8/5
Xiaomi POCO M5 6GB 128GB,4.050.000 ₫,4.690.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],['Pin & công nghệ sạc\nPin\nLi-Po 5000 mAh\nCông nghệ sạc\nSạc nhanh 18W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-poco-m5-6gb-128gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/f/v/fvssxa_3.jpg",5.0/5
iPhone 13 mini 128GB | Chính hãng VN/A,17.490.000 ₫,21.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n128 GB'],"['Pin & công nghệ sạc\nPin\n2,406mAh\nCông nghệ sạc\nSạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin\nCổng sạc\nLightning']","https://cellphones.com.vn/iphone-13-mini.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/4/14_1_9_2_6.jpg",0/5
iPhone XR 64GB I Chính hãng VN/A,8.990.000 ₫,11.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n3 GB\nBộ nhớ trong\n64 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\n2942mAh\nCông nghệ sạc\nSạc nhanh 15W\nPower Delivery 2.0\nCổng sạc\nLightning'],"https://cellphones.com.vn/apple-iphone-xr-64-gb-chinh-hang-vn.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/a/p/apple-iphone-xr-64-gb-chinh-hang-vn_3_.jpg",5.0/5
