Name,Price,Price_Origin,CPU,RAM,ROM,CARD màn hình,size màn hình,LINK,IMG,RATING
Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,27.590.000 ₫,35.990.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\n8 nhân GPU, 16 nhân Neural Engine\nLoại CPU\n8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện']",['RAM & Ổ cứng\nDung lượng RAM\n8GB\nỔ cứng\n256GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nỔ cứng\n256GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Viền màn hình siêu mỏng, Wi-Fi 6, Bảo mật vân tay']","['Vi xử lý & đồ họa\nLoại card đồ họa\n8 nhân GPU, 16 nhân Neural Engine\nLoại CPU\n8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện']",['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nRetina\nKích thước màn hình\n13.3 inches\nCông nghệ màn hình\nĐộ sáng 500 nits\nHỗ trợ dải màu P3\nTrue-Tone\nĐộ phân giải màn hình\n2560 x 1600 pixel (2K)'],"https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/p/r/pro_8gb.png",5.0/5
Laptop Asus Vivobook Slate OLED T3304GA-LQ021WS,19.990.000 ₫,None,"['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel® UHD Graphics\nLoại CPU\nIntel® Core™ i3-N300 Processor 0.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)']",['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB LPDDR5\nỔ cứng\n256GB UFS 2.1'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB LPDDR5\nỔ cứng\n256GB UFS 2.1', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']","['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel® UHD Graphics\nLoại CPU\nIntel® Core™ i3-N300 Processor 0.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)']","['Màn hình\nMàn hình cảm ứng\nCó\nChất liệu tấm nền\nTấm nền OLED/AMOLED\nĐộ phân giải\nFull HD\nKích thước màn hình\n13.3 inches\nCông nghệ màn hình\nTần số quét 60HZ, 550nits HDR, 100% DCI-P3, 1.07 tỷ màu\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)']","https://cellphones.com.vn/laptop-asus-vivobook-slate-t3304ga-lq021ws.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/r/t/rtytu_9_.jpg",0/5
Laptop MSI Gaming GF63 10SC 804VN,17.450.000 ₫,20.990.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\nNvidia Geforce GTX 1650 MaxQ, GDDR6 4GB\nLoại CPU\nIntel Core i5 10500H']","['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 3200Mhz, 2 khe cắm tối đa 32GB\nỔ cứng\n512GB NVMe PCIe Gen3x4 SSD']","['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 3200Mhz, 2 khe cắm tối đa 32GB\nỔ cứng\n512GB NVMe PCIe Gen3x4 SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']","['Vi xử lý & đồ họa\nLoại card đồ họa\nNvidia Geforce GTX 1650 MaxQ, GDDR6 4GB\nLoại CPU\nIntel Core i5 10500H']",['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)'],"https://cellphones.com.vn/laptop-msi-gaming-gf63-10sc-804vn.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/9/h/9h26.png",5.0/5
Laptop ASUS TUF Gaming F15 FX506HC-HN144W,19.890.000 ₫,25.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce RTX 3050\nLoại CPU\nIntel Core i5-11400H'],['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4-3200\nSố khe ram\n8GB trên khe + 1 khe trống\nNâng cấp tối đa 32GB\nỔ cứng\n512GB M.2 NVMe™ PCIe® 3.0 SSD\nTrống 1 khe SSD M2'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4-3200\nSố khe ram\n8GB trên khe + 1 khe trống\nNâng cấp tối đa 32GB\nỔ cứng\n512GB M.2 NVMe™ PCIe® 3.0 SSD\nTrống 1 khe SSD M2', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce RTX 3050\nLoại CPU\nIntel Core i5-11400H'],"['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nTần số quét 144Hz\nMàn hình chống loá\nĐộ phủ màu 62.5%sRGB, 47.34%Adobe, 45% NTSC\nĐộ sáng 250nits, Adaptive-Sync\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)']","https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hc-hn144w.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/5/h/5h53.png",0/5
Laptop ASUS VivoBook 15X A1503ZA-L1422W,17.490.000 ₫,20.490.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel Iris Xe Graphics\nLoại CPU\nIntel Core i5-12500H'],['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4\nSố khe ram\n8gb oboard + 1 khe cắm rời hỗ trợ nâng cấp\nỔ cứng\n512GB M.2 NVMe™ PCIe® 3.0 SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4\nSố khe ram\n8gb oboard + 1 khe cắm rời hỗ trợ nâng cấp\nỔ cứng\n512GB M.2 NVMe™ PCIe® 3.0 SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel Iris Xe Graphics\nLoại CPU\nIntel Core i5-12500H'],"['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền OLED/AMOLED\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nHỗ trợ dải màu 100% DCI-P3\nTỷ lệ tương phản 1,000,000:1\nChứng nhận hiển thị VESA HDR True Black 600\nMàn hình hiển thị 1.07 tỷ màu\nChứng nhận bảo vệ mắt SGS Eye Care Display\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)']","https://cellphones.com.vn/laptop-asus-vivobook-15x-a1503za-l1422w.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/g/a/gaming_003_5__4.png",0/5
Laptop Gaming MSI Bravo 15 B5DD 276VN,15.490.000 ₫,22.490.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nRadeon RX5500M 4GB\nLoại CPU\nAMD Ryzen 5 5600H'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 8GB (1 x 8GB) 3200MHz, lên đến 32GB, 2 khe cắm\nỔ cứng\n512GB SSD NVMe M.2 PCIe Gen 3 x 4']","['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 8GB (1 x 8GB) 3200MHz, lên đến 32GB, 2 khe cắm\nỔ cứng\n512GB SSD NVMe M.2 PCIe Gen 3 x 4', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\nRadeon RX5500M 4GB\nLoại CPU\nAMD Ryzen 5 5600H'],['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nTấm nền IPS\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)'],"https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b5dd-276vn.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/8/h/8h42.png",5.0/5
Laptop HP Gaming Victus 15-FA0031DX 6503849,16.790.000 ₫,22.990.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce GTX 1650\nLoại CPU\nIntel Core i5-12450H (8 lõi, 4.4 GHz)']",['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB DDR4 3200Mhz\nSố khe ram\n2 khe\nỔ cứng\n512GB SSD NVMe'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB DDR4 3200Mhz\nSố khe ram\n2 khe\nỔ cứng\n512GB SSD NVMe', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']","['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce GTX 1650\nLoại CPU\nIntel Core i5-12450H (8 lõi, 4.4 GHz)']",['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nTần số quét 144Hz\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)'],"https://cellphones.com.vn/laptop-hp-gaming-victus-15-fa0031dx-6503849.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/l/a/laptop-hp-gaming-victus-15-fa0031dx-6503849-6.jpg",0/5
Laptop Dell Inspiron 3511 5829BLK,13.490.000 ₫,15.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel Iris Xe graphics\nLoại CPU\nIntel Core i5-1135G7'],['RAM & Ổ cứng\nDung lượng RAM\n8GB\nỔ cứng\n256GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nỔ cứng\n256GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Màn hình cảm ứng']",['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel Iris Xe graphics\nLoại CPU\nIntel Core i5-1135G7'],['Màn hình\nMàn hình cảm ứng\nCó\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)'],"https://cellphones.com.vn/laptop-dell-inspiron-3511-5829blk.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/e/text_ng_n_3__1_71.png",0/5
Laptop Lenovo Ideapad 5 Pro 16ARH7,25.990.000 ₫,27.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce GTX 1650 4GB GDDR6\nLoại CPU\nAMD Ryzen 5 6600HS Creator Edition'],['RAM & Ổ cứng\nDung lượng RAM\n16GB\nLoại RAM\nLPDDR5-6400\nSố khe ram\n1 khe\nỔ cứng\n512GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n16GB\nLoại RAM\nLPDDR5-6400\nSố khe ram\n1 khe\nỔ cứng\n512GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce GTX 1650 4GB GDDR6\nLoại CPU\nAMD Ryzen 5 6600HS Creator Edition'],"['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\n2K (Quad HD)\nKích thước màn hình\n16 inches\nCông nghệ màn hình\nIPS 350nits Chống chói, 120Hz, 100% sRGB, TÜV Low Blue Light, G-sync\nĐộ phân giải màn hình\n2560 x 1600 (WQXGA)']","https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16arh7-82sn003mvn.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/2/h/2h08.png",0/5
Laptop Asus Vivobook X415EA BV451W,6.990.000 ₫,9.190.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel UHD Graphics\nLoại CPU\nIntel Celeron N4020 (1.10GHz up to 2.80GHz, 4MB Cache)']",['RAM & Ổ cứng\nDung lượng RAM\n4GB\nỔ cứng\nSSD 256GB'],"['RAM & Ổ cứng\nDung lượng RAM\n4GB\nỔ cứng\nSSD 256GB', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD']","['Vi xử lý & đồ họa\nLoại card đồ họa\nIntel UHD Graphics\nLoại CPU\nIntel Celeron N4020 (1.10GHz up to 2.80GHz, 4MB Cache)']",['Màn hình\nĐộ phân giải\nHD\nKích thước màn hình\n14 inches\nĐộ phân giải màn hình\n1366 x 768 pixels (HD+)'],"https://cellphones.com.vn/laptop-asus-vivobook-x415ma-bv451w.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/8/_/8_10_16.jpg",5.0/5
